0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
81,,,,,,Rajshahi Zila Total,11216,49312,24136,25176,26469,8424,1907,12512
81,,,,,1,Rajshahi Zila,9105,40039,19758,20281,21287,7746,1181,9825
81,,,,,2,Rajshahi Zila,2051,9022,4259,4763,5067,550,726,2679
81,,,,,3,Rajshahi Zila,60,251,119,132,115,128,0,8
81,10,,,,,Bagha Upazila Total,102,395,199,196,319,0,0,76
81,10,,,,1,Bagha Upazila,67,252,133,119,194,0,0,58
81,10,,,,2,Bagha Upazila,35,143,66,77,125,0,0,18
81,10,,,,2,Bagha  Paurashava,,,,,,,,0
81,10,01,,,,Ward No-01 Total,11,38,17,21,38,0,0,0
81,10,02,,,,Ward No-02 Total,19,84,38,46,79,0,0,5
81,10,03,,,,Ward No-03 Total,0,0,0,0,0,0,0,0
81,10,04,,,,Ward No-04 Total,1,1,1,0,0,0,0,1
81,10,05,,,,Ward No-05 Total,0,0,0,0,0,0,0,0
81,10,06,,,,Ward No-06 Total,0,0,0,0,0,0,0,0
81,10,07,,,,Ward No-07 Total,0,0,0,0,0,0,0,0
81,10,08,,,,Ward No-08 Total,0,0,0,0,0,0,0,0
81,10,09,,,,Ward No-09 Total,2,9,4,5,0,0,0,9
81,10,,,,2,Arani  Paurashava,,,,,,,,0
81,10,11,,,,Ward No-01 (Arani) Total,0,0,0,0,0,0,0,0
81,10,12,,,,Ward No-02 Total,0,0,0,0,0,0,0,0
81,10,13,,,,Ward No-03 Total,0,0,0,0,0,0,0,0
81,10,14,,,,Ward No-04 Total,0,0,0,0,0,0,0,0
81,10,15,,,,Ward No-05 Total,1,3,2,1,0,0,0,3
81,10,16,,,,Ward No-06 Total,1,8,4,4,8,0,0,0
81,10,17,,,,Ward No-07 Total,0,0,0,0,0,0,0,0
81,10,18,,,,Ward No-08 Total,0,0,0,0,0,0,0,0
81,10,19,,,,Ward No-09 Total,0,0,0,0,0,0,0,0
81,10,21,,,,Arani Union Total,0,0,0,0,0,0,0,0
81,10,22,,,,Bajubagha Union Total,1,4,2,2,0,0,0,4
81,10,23,,,,Bausa Union Total,37,141,71,70,121,0,0,20
81,10,55,,,,Gargari Union Total,2,6,3,3,0,0,0,6
81,10,63,,,,Manigram Union Total,23,82,47,35,73,0,0,9
81,10,79,,,,Pakuria Union Total,4,19,10,9,0,0,0,19
81,12,,,,,Baghmara Upazila Total,77,345,183,162,197,0,14,134
81,12,,,,1,Baghmara Upazila,65,291,153,138,173,0,14,104
81,12,,,,2,Baghmara Upazila,12,54,30,24,24,0,0,30
81,12,,,,3,Baghmara Upazila,0,0,0,0,0,0,0,0
81,12,,,,2,Bhabanigonj  Paurashava,,,,,,,,0
81,12,01,,,,Ward No-01 (Bhabanigonj) Total,0,0,0,0,0,0,0,0
81,12,02,,,,Ward No-02 Total,5,17,10,7,0,0,0,17
81,12,03,,,,Ward No-03 Total,0,0,0,0,0,0,0,0
81,12,04,,,,Ward No-04 Total,0,0,0,0,0,0,0,0
81,12,05,,,,Ward No-05 Total,3,19,10,9,19,0,0,0
81,12,06,,,,Ward No-06 Total,1,3,2,1,0,0,0,3
81,12,07,,,,Ward No-07 Total,0,0,0,0,0,0,0,0
81,12,08,,,,Ward No-08 Total,0,0,0,0,0,0,0,0
81,12,09,,,,Ward No-09 Total,0,0,0,0,0,0,0,0
